name,perc_no_hc,perc_hc
"Cross County, Arkansas",0.152020231,0.847979769
"Dallas County, Arkansas",0.174872893,0.825127107
"Desha County, Arkansas",0.18168744,0.81831256
"Drew County, Arkansas",0.162770374,0.837229626
"Faulkner County, Arkansas",0.138266838,0.861733162
"Franklin County, Arkansas",0.13706159,0.86293841
"Fulton County, Arkansas",0.156980128,0.843019872
"Garland County, Arkansas",0.178909182,0.821090818
"Grant County, Arkansas",0.122725491,0.877274509
"Greene County, Arkansas",0.14933032,0.85066968
"Hempstead County, Arkansas",0.181608988,0.818391012
"Hot Spring County, Arkansas",0.165630156,0.834369844
"Howard County, Arkansas",0.204146612,0.795853388
"Independence County, Arkansas",0.164030914,0.835969086
"Izard County, Arkansas",0.180999373,0.819000627
"Jackson County, Arkansas",0.177990628,0.822009372
"Jefferson County, Arkansas",0.129210373,0.870789627
"Johnson County, Arkansas",0.149867167,0.850132833
"Lafayette County, Arkansas",0.188999173,0.811000827
"Lawrence County, Arkansas",0.184391691,0.815608309
"Lee County, Arkansas",0.196618302,0.803381698
"Lincoln County, Arkansas",0.189340004,0.810659996
"Little River County, Arkansas",0.175116297,0.824883703
"Logan County, Arkansas",0.145805684,0.854194316
"Lonoke County, Arkansas",0.127375037,0.872624963
"Madison County, Arkansas",0.184448,0.815552
"Marion County, Arkansas",0.178599768,0.821400232
"Miller County, Arkansas",0.18028415,0.81971585
"Mississippi County, Arkansas",0.167343732,0.832656268
"Monroe County, Arkansas",0.157074804,0.842925196
"Montgomery County, Arkansas",0.203230736,0.796769264
"Nevada County, Arkansas",0.161056864,0.838943136
"Newton County, Arkansas",0.167451078,0.832548922
"Ouachita County, Arkansas",0.130712943,0.869287057
"Perry County, Arkansas",0.112133072,0.887866928
"Phillips County, Arkansas",0.172879551,0.827120449
"Pike County, Arkansas",0.175873016,0.824126984
"Poinsett County, Arkansas",0.181239601,0.818760399
"Polk County, Arkansas",0.196217494,0.803782506
"Pope County, Arkansas",0.146228315,0.853771685
"Prairie County, Arkansas",0.154132629,0.845867371
"Pulaski County, Arkansas",0.14806174,0.85193826
"Randolph County, Arkansas",0.176302068,0.823697932
"St. Francis County, Arkansas",0.175875193,0.824124807
"Saline County, Arkansas",0.119777613,0.880222387
"Scott County, Arkansas",0.169302496,0.830697504
"Searcy County, Arkansas",0.207326284,0.792673716
"Sebastian County, Arkansas",0.177927497,0.822072503
"Sevier County, Arkansas",0.226241426,0.773758574
"Sharp County, Arkansas",0.178423727,0.821576273
"Stone County, Arkansas",0.142512077,0.857487923
"Union County, Arkansas",0.158096321,0.841903679
"Van Buren County, Arkansas",0.203316553,0.796683447
"Washington County, Arkansas",0.175608018,0.824391982
"White County, Arkansas",0.156271348,0.843728652
"Woodruff County, Arkansas",0.209881878,0.790118122
"Yell County, Arkansas",0.171324311,0.828675689
"Alameda County, California",0.117792427,0.882207573
"Alpine County, California",0.222129784,0.777870216
"Amador County, California",0.10718396,0.89281604
"Butte County, California",0.148920365,0.851079635
"Calaveras County, California",0.109642319,0.890357681
"Colusa County, California",0.205042413,0.794957587
"Contra Costa County, California",0.111614955,0.888385045
"Del Norte County, California",0.129993478,0.870006522
"El Dorado County, California",0.098130738,0.901869262
"Fresno County, California",0.184786064,0.815213936
"Glenn County, California",0.19498376,0.80501624
"Humboldt County, California",0.188437327,0.811562673
"Imperial County, California",0.197066158,0.802933842
"Inyo County, California",0.135827752,0.864172248
"Kern County, California",0.185110999,0.814889001
"Kings County, California",0.172829723,0.827170277
"Lake County, California",0.187743925,0.812256075
"Lassen County, California",0.111486486,0.888513514
"Los Angeles County, California",0.208503087,0.791496913
"Madera County, California",0.190408548,0.809591452
"Marin County, California",0.083109621,0.916890379
"Mariposa County, California",0.101686341,0.898313659
"Mendocino County, California",0.163752537,0.836247463
"Merced County, California",0.176733288,0.823266712
"Modoc County, California",0.169232473,0.830767527
"Mono County, California",0.22760771,0.77239229
"Monterey County, California",0.209385553,0.790614447
"Napa County, California",0.139132082,0.860867918
"Nevada County, California",0.144901427,0.855098573
"Orange County, California",0.160588448,0.839411552
"Placer County, California",0.097067061,0.902932939
"Plumas County, California",0.151584894,0.848415106
"Riverside County, California",0.192029895,0.807970105
"Sacramento County, California",0.137260432,0.862739568
"San Benito County, California",0.148057353,0.851942647
"San Bernardino County, California",0.190730665,0.809269335
"San Diego County, California",0.158546799,0.841453201
"San Francisco County, California",0.100056397,0.899943603
"San Joaquin County, California",0.16105015,0.83894985
"San Luis Obispo County, California",0.137444098,0.862555902
"San Mateo County, California",0.101882555,0.898117445
"Santa Barbara County, California",0.173530555,0.826469445
"Santa Clara County, California",0.105312272,0.894687728
"Santa Cruz County, California",0.138686488,0.861313512
"Shasta County, California",0.150895675,0.849104325
"Sierra County, California",0.191304348,0.808695652
"Siskiyou County, California",0.1420461,0.8579539
"Solano County, California",0.120943902,0.879056098
"Sonoma County, California",0.132906795,0.867093205
"Stanislaus County, California",0.164689324,0.835310676
"Sutter County, California",0.173385506,0.826614494
"Tehama County, California",0.149118886,0.850881114
"Trinity County, California",0.205652435,0.794347565
"Tulare County, California",0.200267695,0.799732305
"Tuolumne County, California",0.122406151,0.877593849
"Ventura County, California",0.151848722,0.848151278
"Yolo County, California",0.118824929,0.881175071
"Yuba County, California",0.161759705,0.838240295
"Adams County, Colorado",0.195564221,0.804435779
"Alamosa County, Colorado",0.129656753,0.870343247
"Arapahoe County, Colorado",0.147124486,0.852875514
"Archuleta County, Colorado",0.230698911,0.769301089
"Baca County, Colorado",0.175739154,0.824260846
"Bent County, Colorado",0.16402803,0.83597197
"Boulder County, Colorado",0.103219759,0.896780241
"Broomfield County, Colorado",0.080145006,0.919854994
"Chaffee County, Colorado",0.156615873,0.843384127
"Cheyenne County, Colorado",0.219848053,0.780151947
"Clear Creek County, Colorado",0.090625696,0.909374304
"Conejos County, Colorado",0.175998053,0.824001947
"Costilla County, Colorado",0.181945221,0.818054779
"Crowley County, Colorado",0.14115899,0.85884101
"Custer County, Colorado",0.181775371,0.818224629
"Delta County, Colorado",0.198829016,0.801170984
"Denver County, Colorado",0.159042023,0.840957977
"Dolores County, Colorado",0.151497696,0.848502304
"Douglas County, Colorado",0.058881581,0.941118419
"Eagle County, Colorado",0.183635108,0.816364892
"Elbert County, Colorado",0.118264431,0.881735569
"El Paso County, Colorado",0.123775165,0.876224835
"Fremont County, Colorado",0.120601193,0.879398807
"Garfield County, Colorado",0.277494681,0.722505319
"Gilpin County, Colorado",0.135125318,0.864874682
"Grand County, Colorado",0.207948949,0.792051051
"Gunnison County, Colorado",0.17116767,0.82883233
"Hinsdale County, Colorado",0.152698048,0.847301952
"Huerfano County, Colorado",0.178588729,0.821411271
"Jackson County, Colorado",0.1902687,0.8097313
"Jefferson County, Colorado",0.108555702,0.891444298
"Kiowa County, Colorado",0.158695652,0.841304348
"Kit Carson County, Colorado",0.176904177,0.823095823
"Lake County, Colorado",0.228106468,0.771893532
"La Plata County, Colorado",0.169782651,0.830217349
"Larimer County, Colorado",0.110200727,0.889799273
"Las Animas County, Colorado",0.171682152,0.828317848
"Lincoln County, Colorado",0.08158447,0.91841553
"Logan County, Colorado",0.177529316,0.822470684
"Mesa County, Colorado",0.155705864,0.844294136
"Mineral County, Colorado",0.072443182,0.927556818
"Moffat County, Colorado",0.149250323,0.850749677
"Montezuma County, Colorado",0.227272727,0.772727273
"Montrose County, Colorado",0.203114572,0.796885428
"Morgan County, Colorado",0.157089915,0.842910085
"Otero County, Colorado",0.176065876,0.823934124
"Ouray County, Colorado",0.142825607,0.857174393
"Park County, Colorado",0.136187742,0.863812258
"Phillips County, Colorado",0.16400278,0.83599722
"Pitkin County, Colorado",0.153743548,0.846256452
"Prowers County, Colorado",0.170254725,0.829745275
"Pueblo County, Colorado",0.129332373,0.870667627
"Rio Blanco County, Colorado",0.140754093,0.859245907
"Rio Grande County, Colorado",0.182908934,0.817091066
"Routt County, Colorado",0.135444831,0.864555169
"Saguache County, Colorado",0.302623057,0.697376943
"San Juan County, Colorado",0.257274119,0.742725881
"San Miguel County, Colorado",0.167943975,0.832056025
"Sedgwick County, Colorado",0.126500858,0.873499142
"Summit County, Colorado",0.226270948,0.773729052
"Teller County, Colorado",0.115411316,0.884588684
"Washington County, Colorado",0.119699647,0.880300353
"Weld County, Colorado",0.143034774,0.856965226
"Yuma County, Colorado",0.162197318,0.837802682
"Fairfield County, Connecticut",0.113077168,0.886922832
"Hartford County, Connecticut",0.076604841,0.923395159
"Litchfield County, Connecticut",0.071719317,0.928280683
"Middlesex County, Connecticut",0.066491785,0.933508215
"New Haven County, Connecticut",0.083234174,0.916765826
"New London County, Connecticut",0.066979911,0.933020089
"Tolland County, Connecticut",0.052026188,0.947973812
"Windham County, Connecticut",0.07913155,0.92086845
"Kent County, Delaware",0.082093059,0.917906941
"New Castle County, Delaware",0.086221045,0.913778955
"Sussex County, Delaware",0.106144139,0.893855861
"District of Columbia, District of Columbia",0.064206609,0.935793391
"Alachua County, Florida",0.14665724,0.85334276
"Baker County, Florida",0.141838223,0.858161777
"Bay County, Florida",0.182065072,0.817934928
"Bradford County, Florida",0.183470522,0.816529478
"Brevard County, Florida",0.160179117,0.839820883
"Broward County, Florida",0.217093123,0.782906877
"Calhoun County, Florida",0.202766798,0.797233202
"Charlotte County, Florida",0.164097184,0.835902816
"Citrus County, Florida",0.145572144,0.854427856
"Clay County, Florida",0.131003341,0.868996659
"Collier County, Florida",0.212650381,0.787349619
"Columbia County, Florida",0.179869054,0.820130946
"DeSoto County, Florida",0.279846309,0.720153691
"Dixie County, Florida",0.199906053,0.800093947
"Duval County, Florida",0.162383256,0.837616744
"Escambia County, Florida",0.156415687,0.843584313
"Flagler County, Florida",0.160684351,0.839315649
"Franklin County, Florida",0.211826194,0.788173806
"Gadsden County, Florida",0.192092301,0.807907699
"Gilchrist County, Florida",0.227443012,0.772556988
"Glades County, Florida",0.290341578,0.709658422
"Gulf County, Florida",0.19940894,0.80059106
"Hamilton County, Florida",0.17246312,0.82753688
"Hardee County, Florida",0.284138838,0.715861162
"Hendry County, Florida",0.313589519,0.686410481
"Hernando County, Florida",0.168418421,0.831581579
"Highlands County, Florida",0.174039599,0.825960401
"Hillsborough County, Florida",0.176695376,0.823304624
"Holmes County, Florida",0.183828882,0.816171118
"Indian River County, Florida",0.185735981,0.814264019
"Jackson County, Florida",0.136133725,0.863866275
"Jefferson County, Florida",0.152866765,0.847133235
"Lafayette County, Florida",0.210713796,0.789286204
"Lake County, Florida",0.157263654,0.842736346
"Lee County, Florida",0.200286152,0.799713848
"Leon County, Florida",0.123494345,0.876505655
"Levy County, Florida",0.214444557,0.785555443
"Liberty County, Florida",0.270017794,0.729982206
"Madison County, Florida",0.186864785,0.813135215
"Manatee County, Florida",0.177317359,0.822682641
"Marion County, Florida",0.183765988,0.816234012
"Martin County, Florida",0.153284721,0.846715279
"Miami-Dade County, Florida",0.283464561,0.716535439
"Monroe County, Florida",0.252980422,0.747019578
"Nassau County, Florida",0.158079262,0.841920738
"Okaloosa County, Florida",0.158905153,0.841094847
"Okeechobee County, Florida",0.222606,0.777394
"Orange County, Florida",0.216220469,0.783779531
"Osceola County, Florida",0.232802465,0.767197535
"Palm Beach County, Florida",0.192495492,0.807504508
"Pasco County, Florida",0.158260527,0.841739473
"Pinellas County, Florida",0.165603833,0.834396167
"Polk County, Florida",0.18118012,0.81881988
"Putnam County, Florida",0.210678371,0.789321629
"St. Johns County, Florida",0.115750825,0.884249175
"St. Lucie County, Florida",0.205677206,0.794322794
"Santa Rosa County, Florida",0.142165707,0.857834293
"Sarasota County, Florida",0.155086829,0.844913171
"Seminole County, Florida",0.166106492,0.833893508
"Sumter County, Florida",0.100543794,0.899456206
"Suwannee County, Florida",0.180557867,0.819442133
"Taylor County, Florida",0.151081775,0.848918225
"Union County, Florida",0.151682135,0.848317865
"Volusia County, Florida",0.185539119,0.814460881
"Wakulla County, Florida",0.132340053,0.867659947
"Walton County, Florida",0.191421037,0.808578963
"Washington County, Florida",0.152719101,0.847280899
"Appling County, Georgia",0.227366198,0.772633802
"Atkinson County, Georgia",0.304016453,0.695983547
"Bacon County, Georgia",0.201270791,0.798729209
"Baker County, Georgia",0.208570572,0.791429428
"Baldwin County, Georgia",0.151623884,0.848376116
"Banks County, Georgia",0.174718548,0.825281452
"Barrow County, Georgia",0.182661793,0.817338207
"Bartow County, Georgia",0.184332536,0.815667464
"Ben Hill County, Georgia",0.212777069,0.787222931
"Berrien County, Georgia",0.255717256,0.744282744
"Bibb County, Georgia",0.173783142,0.826216858
"Bleckley County, Georgia",0.145992976,0.854007024
"Brantley County, Georgia",0.29476149,0.70523851
"Brooks County, Georgia",0.241390306,0.758609694
"Bryan County, Georgia",0.151762821,0.848237179
"Bulloch County, Georgia",0.181267566,0.818732434
"Burke County, Georgia",0.175763142,0.824236858
"Butts County, Georgia",0.180306966,0.819693034
"Calhoun County, Georgia",0.273139925,0.726860075
"Camden County, Georgia",0.133205285,0.866794715
"Candler County, Georgia",0.271839241,0.728160759
"Carroll County, Georgia",0.18410541,0.81589459
"Catoosa County, Georgia",0.149164585,0.850835415
"Charlton County, Georgia",0.229600546,0.770399454
"Chatham County, Georgia",0.18598728,0.81401272
"Chattahoochee County, Georgia",0.117726658,0.882273342
"Chattooga County, Georgia",0.18777533,0.81222467
"Cherokee County, Georgia",0.149999096,0.850000904
"Clarke County, Georgia",0.168513272,0.831486728
"Clay County, Georgia",0.236566186,0.763433814
"Clayton County, Georgia",0.267150009,0.732849991
"Clinch County, Georgia",0.202981479,0.797018521
"Cobb County, Georgia",0.176745449,0.823254551
"Coffee County, Georgia",0.237225637,0.762774363
"Colquitt County, Georgia",0.279977913,0.720022087
"Columbia County, Georgia",0.115264773,0.884735227
"Cook County, Georgia",0.272511848,0.727488152
"Coweta County, Georgia",0.127833127,0.872166873
"Crawford County, Georgia",0.160917683,0.839082317
"Crisp County, Georgia",0.193441623,0.806558377
"Dade County, Georgia",0.165374992,0.834625008
"Dawson County, Georgia",0.160023315,0.839976685
"Decatur County, Georgia",0.223364166,0.776635834
"DeKalb County, Georgia",0.208353054,0.791646946
"Dodge County, Georgia",0.171134021,0.828865979
"Dooly County, Georgia",0.230831186,0.769168814
"Dougherty County, Georgia",0.208167298,0.791832702
"Douglas County, Georgia",0.177656704,0.822343296
"Early County, Georgia",0.171379277,0.828620723
"Echols County, Georgia",0.345694375,0.654305625
"Effingham County, Georgia",0.156174744,0.843825256
"Elbert County, Georgia",0.174880518,0.825119482
"Emanuel County, Georgia",0.240556569,0.759443431
"Evans County, Georgia",0.185535198,0.814464802
"Fannin County, Georgia",0.17409269,0.82590731
"Fayette County, Georgia",0.092567511,0.907432489
"Floyd County, Georgia",0.18383525,0.81616475
"Forsyth County, Georgia",0.121691439,0.878308561
"Franklin County, Georgia",0.189228796,0.810771204
"Fulton County, Georgia",0.166239297,0.833760703
"Gilmer County, Georgia",0.217112262,0.782887738
"Glascock County, Georgia",0.174072837,0.825927163
"Glynn County, Georgia",0.20261062,0.79738938
"Gordon County, Georgia",0.206543226,0.793456774
"Grady County, Georgia",0.245528585,0.754471415
"Greene County, Georgia",0.183532056,0.816467944
"Gwinnett County, Georgia",0.212076207,0.787923793
"Habersham County, Georgia",0.187287229,0.812712771
"Hall County, Georgia",0.202231444,0.797768556
"Hancock County, Georgia",0.169010239,0.830989761
"Haralson County, Georgia",0.163366865,0.836633135
"Harris County, Georgia",0.114097727,0.885902273
"Hart County, Georgia",0.183389459,0.816610541
"Heard County, Georgia",0.181077803,0.818922197
"Henry County, Georgia",0.151160048,0.848839952
"Houston County, Georgia",0.146775102,0.853224898
"Irwin County, Georgia",0.176364253,0.823635747
"Jackson County, Georgia",0.16383919,0.83616081
"Jasper County, Georgia",0.176101557,0.823898443
"Jeff Davis County, Georgia",0.23734156,0.76265844
"Jefferson County, Georgia",0.244016747,0.755983253
"Jenkins County, Georgia",0.209593926,0.790406074
"Johnson County, Georgia",0.207853982,0.792146018
"Jones County, Georgia",0.151964054,0.848035946
"Lamar County, Georgia",0.184603299,0.815396701
"Lanier County, Georgia",0.215847828,0.784152172
"Laurens County, Georgia",0.155699327,0.844300673
"Lee County, Georgia",0.134366454,0.865633546
"Liberty County, Georgia",0.138832134,0.861167866
"Lincoln County, Georgia",0.187572816,0.812427184
"Long County, Georgia",0.18173965,0.81826035
"Lowndes County, Georgia",0.203220588,0.796779412
"Lumpkin County, Georgia",0.15371438,0.84628562
"McDuffie County, Georgia",0.211068272,0.788931728
"McIntosh County, Georgia",0.179485357,0.820514643
"Macon County, Georgia",0.243398027,0.756601973
"Madison County, Georgia",0.176150987,0.823849013
"Marion County, Georgia",0.254623209,0.745376791
"Meriwether County, Georgia",0.202344522,0.797655478
"Miller County, Georgia",0.164304014,0.835695986
"Mitchell County, Georgia",0.224927481,0.775072519
"Monroe County, Georgia",0.14467502,0.85532498
"Montgomery County, Georgia",0.205169816,0.794830184
"Morgan County, Georgia",0.176127681,0.823872319
"Murray County, Georgia",0.215393643,0.784606357
"Muscogee County, Georgia",0.163565488,0.836434512
"Newton County, Georgia",0.174265159,0.825734841
"Oconee County, Georgia",0.097056982,0.902943018
"Oglethorpe County, Georgia",0.151635964,0.848364036
"Paulding County, Georgia",0.142963638,0.857036362
"Peach County, Georgia",0.187651599,0.812348401
"Pickens County, Georgia",0.144576254,0.855423746
"Pierce County, Georgia",0.209927335,0.790072665
"Pike County, Georgia",0.167577725,0.832422275
"Polk County, Georgia",0.191865021,0.808134979
"Pulaski County, Georgia",0.191686367,0.808313633
"Putnam County, Georgia",0.172361427,0.827638573
"Quitman County, Georgia",0.183215621,0.816784379
"Rabun County, Georgia",0.252487562,0.747512438
"Randolph County, Georgia",0.206830074,0.793169926
"Richmond County, Georgia",0.176003127,0.823996873
"Rockdale County, Georgia",0.198281506,0.801718494
"Schley County, Georgia",0.242418236,0.757581764
"Screven County, Georgia",0.212182158,0.787817842
"Seminole County, Georgia",0.204297369,0.795702631
"Spalding County, Georgia",0.182092683,0.817907317
"Stephens County, Georgia",0.17889819,0.82110181
"Stewart County, Georgia",0.26783053,0.73216947
"Sumter County, Georgia",0.162841141,0.837158859
"Talbot County, Georgia",0.143967093,0.856032907
"Taliaferro County, Georgia",0.201675643,0.798324357
"Tattnall County, Georgia",0.214752381,0.785247619
"Taylor County, Georgia",0.183009709,0.816990291
"Telfair County, Georgia",0.18350938,0.81649062
"Terrell County, Georgia",0.238052602,0.761947398
"Thomas County, Georgia",0.20252848,0.79747152
"Tift County, Georgia",0.244396959,0.755603041
"Toombs County, Georgia",0.23620965,0.76379035
"Towns County, Georgia",0.147475516,0.852524484
"Treutlen County, Georgia",0.14639887,0.85360113
"Troup County, Georgia",0.177474301,0.822525699
"Turner County, Georgia",0.241810821,0.758189179
"Twiggs County, Georgia",0.171757519,0.828242481
"Union County, Georgia",0.15301296,0.84698704
"Upson County, Georgia",0.159210828,0.840789172
"Walker County, Georgia",0.174796022,0.825203978
"Walton County, Georgia",0.152229856,0.847770144
"Ware County, Georgia",0.209408466,0.790591534
"Warren County, Georgia",0.155851159,0.844148841
"Washington County, Georgia",0.184394591,0.815605409
"Wayne County, Georgia",0.245841365,0.754158635
"Webster County, Georgia",0.218692954,0.781307046
"Wheeler County, Georgia",0.209117413,0.790882587
"White County, Georgia",0.181506224,0.818493776
"Whitfield County, Georgia",0.238902846,0.761097154
"Wilcox County, Georgia",0.17239903,0.82760097
"Wilkes County, Georgia",0.1806562,0.8193438
"Wilkinson County, Georgia",0.145100972,0.854899028
"Worth County, Georgia",0.219445492,0.780554508
"Hawaii County, Hawaii",0.089676137,0.910323863
"Honolulu County, Hawaii",0.056170913,0.943829087
"Kalawao County, Hawaii",0.107692308,0.892307692
"Kauai County, Hawaii",0.091406952,0.908593048
"Maui County, Hawaii",0.093632792,0.906367208
"Ada County, Idaho",0.124210787,0.875789213
"Adams County, Idaho",0.200361477,0.799638523
"Bannock County, Idaho",0.133895439,0.866104561
"Bear Lake County, Idaho",0.140677966,0.859322034
"Benewah County, Idaho",0.220245331,0.779754669
"Bingham County, Idaho",0.166891101,0.833108899
"Blaine County, Idaho",0.175603091,0.824396909
"Boise County, Idaho",0.172176712,0.827823288
"Bonner County, Idaho",0.183982844,0.816017156
"Bonneville County, Idaho",0.140154813,0.859845187
"Boundary County, Idaho",0.285172158,0.714827842
"Butte County, Idaho",0.18401487,0.81598513
"Camas County, Idaho",0.291774892,0.708225108
"Canyon County, Idaho",0.190201447,0.809798553
"Caribou County, Idaho",0.099704579,0.900295421
"Cassia County, Idaho",0.203911468,0.796088532
"Clark County, Idaho",0.37545565,0.62454435
"Clearwater County, Idaho",0.166732001,0.833267999
"Custer County, Idaho",0.14958775,0.85041225
"Elmore County, Idaho",0.150857096,0.849142904
"Franklin County, Idaho",0.159906213,0.840093787
"Fremont County, Idaho",0.188177656,0.811822344
"Gem County, Idaho",0.202302037,0.797697963
"Gooding County, Idaho",0.248149617,0.751850383
"Idaho County, Idaho",0.17066852,0.82933148
"Jefferson County, Idaho",0.14311014,0.85688986
"Jerome County, Idaho",0.288951211,0.711048789
"Kootenai County, Idaho",0.171116162,0.828883838
"Latah County, Idaho",0.092916843,0.907083157
"Lemhi County, Idaho",0.156743464,0.843256536
"Lewis County, Idaho",0.205216928,0.794783072
"Lincoln County, Idaho",0.298312883,0.701687117
"Madison County, Idaho",0.108158483,0.891841517
"Minidoka County, Idaho",0.228595634,0.771404366
